,title,company,location,summary,est_annual_sal
37,Forensic Scientist-DNA (8 Openings),City of Austin,"Austin, TX","Skill in data analysis and problem solving. Graduation from an accredited four-year college or university with major course work in Biology, Chemistry, Forensic...",53240.0
38,Engineering Scientist - GPS Data Analyst,University of Texas at Austin,"Austin, TX",Detailed data analyses of GPS observation and navigation data collected from a global GPS tracking network to support objectives related to assessing GPS...,102498.0
39,Engineering Scientist Associate - System Support Engineering...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware trouble shooting and...,71400.0
40,Senior Software Engineer/Team Lead,XOR Data Exchange,"Austin, TX","XOR is leading a data revolution by giving transparency, accountability and control back to data owners. Our technical team consists of fast-paced, inventive...",90000.0
41,Engineering Scientist - Geospatial Application Software Deve...,University of Texas at Austin,"Austin, TX","Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....",102498.0
42,Data Scientist,Health & Human Services Comm,"Austin, TX",The Data Scientist design and implement analytical studies; The Data Scientist is selected by and report to the Director of Data Analytics at Medicaid/CHIP...,83298.0
43,LCMS Certifying Scientist,Lighthouse Recruiting,"Austin, TX","Join our Medical Laboratory Scientists Groups:. Reviews drug confirmation data from the laboratory, compares with the initial screening data for accuracy and...",70000.0
44,Engineering Scientist - Web Application Developer,University of Texas at Austin,"Austin, TX",Develop and maintain internal and external-facing web applications to support GPS/GNSS data analysis. Develop server and client-side software to implement web...,102498.0
45,Engineering Scientist - Satellite Attitude Determination Spe...,University of Texas at Austin,"Austin, TX","Provide oversight, analysis and guidance to operational processing of on-orbit data. Develop, direct and perform advanced level scientific research projects in...",102498.0
46,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
47,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
48,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
49,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
50,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
51,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
52,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
53,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
54,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
55,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
56,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
57,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
58,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
59,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
60,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
61,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
62,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
63,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
64,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
65,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
66,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
67,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
68,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
69,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
70,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
71,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
72,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
73,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
74,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
75,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
76,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
77,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
78,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
79,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
80,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
81,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
82,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
83,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
84,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
85,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
86,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
87,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
88,Senior Systems Administrator - Project Specific Linux and So...,University of Texas at Austin,"Austin, TX",Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware troubleshooting and...,78000.0
