,Zip Code,City,County,State,County Number,Area (sqkm),Year,Total Pop,Median HH Inc,Per Capita Inc,White,Afr Amer,Native Amer,Asian Amer,Pac Islander,Other,Bi- Multi-Racial,Hispanic or Latino,Med Age,<5 years,5-17 yrs,18-20 yrs,21-24 yrs,25-34 yrs,35-44 yrs,45-54 yrs,55-59 yrs,60-64 yrs,65-74 yrs,78-84 yrs,85+ yrs,% P16+ in labor force,Total # Homes Owned,Med. Home Value,Tot Housing units,Owner occupied housing units,Renter occupied housing units,households,Family households,Married-couple family households,Single mother households,Nonfamily households,Single Occupancy,Avg HH Size,Avg Family Size,Pop Below Poverty Level,% P25+ HS Grad,% P25-54 BA+,Predicted Total Sales,Predicted Dollar/Litre
0,50001,ACKWORTH,Warren,IA,91,62.796656,2016,-0.402318261151,0.632447465779,-0.00746113512516,-0.408285716432,-0.173223134129,-0.207602029979,-0.230465110769,-0.279178821552,-0.229033797954,-0.189871344193,-0.240018719008,-0.211643174429,-0.402806082459,-0.403519791889,-0.258502093436,-0.284066510137,-0.391465582177,-0.360425768151,-0.382977904522,-0.388167719949,-0.460843817923,-0.449899782402,-0.498038264276,-0.477783532667,0.911351667535,-0.406151433411,1.13682817018,-0.411555520487,-0.406354276422,-0.390335039167,-0.408476730296,-0.407413559954,-0.410998602499,-0.356452669492,-0.398466084121,-0.420165843167,1.59265027799,1.06414835505,-0.384456592594,0.566487759634,-0.498752511694,130858.734461,12.9332355233
1,50002,ADAIR,Guthrie,IA,39,279.202219,2016,-0.284514602726,-0.631802292294,0.69138994741,-0.279227405642,-0.181578768687,-0.207602029979,-0.200626453491,-0.279178821552,-0.229033797954,-0.261655268812,-0.23053956446,0.918275785939,-0.323088950679,-0.314946900557,-0.251999915958,-0.224477406595,-0.267140867694,-0.305003573049,-0.293129618227,-0.285583971419,-0.23239990613,-0.233040536185,-0.150148685957,-0.104832950975,-0.481256113684,-0.255663176019,-0.302444492112,-0.257975749261,-0.253396759118,-0.26365741401,-0.261337590327,-0.282275795795,-0.270028214966,-0.286440889565,-0.217298608709,-0.206102632646,-1.1788269638,-0.686938472448,-0.296179438998,0.367935464946,-0.328641767877,139878.456396,12.5401768998
2,50003,ADEL,Dallas,IA,25,298.086291,2016,0.447039607602,1.09190570744,1.15670346977,0.501495709013,-0.159297076533,-0.0852328831157,-0.0991750187439,-0.279178821552,-0.100621516074,0.0972643542815,-0.063074500789,-0.0860966232768,0.379871211388,0.653819098386,0.0731089579363,0.0337420420863,0.267339213259,0.611092710696,0.651491553902,0.404203303183,0.448621566762,0.311517126538,0.319023497648,0.412731121577,0.544209616123,0.337477478115,1.56277043778,0.39716833812,0.493012210978,0.238036150968,0.418617376824,0.512604389801,0.581432925733,0.226978829901,0.242844549698,0.281564548938,0.345485519182,0.413744676268,0.480523962308,0.930500299896,1.1229699127,624315.459855,13.3230868456
3,50005,ALBION,Marshall,IA,64,69.623573,2016,-0.363918173598,0.424792366465,-0.645662915935,-0.364735175342,-0.181578768687,-0.109706712488,-0.206594184947,-0.279178821552,-0.241263539086,-0.323184347056,-0.25581730992,-0.211643174429,-0.335167303979,-0.363846517646,-0.269339055899,-0.276121296331,-0.321750789009,-0.37129286523,-0.361122915964,-0.306808195253,-0.378948830676,-0.360746536735,-0.434205314125,-0.485394769028,0.0757869988036,-0.340397555182,-0.220004053222,-0.375785042126,-0.364854174828,-0.347691086144,-0.365851464121,-0.358252295463,-0.370721348918,-0.294219976223,-0.368456747703,-0.38897782574,0.715015818087,-0.0865658458756,-0.349552382151,-0.757194204954,-0.158531024059,72064.3464651,12.7932549809
4,50006,ALDEN,Hardin,IA,42,317.74515,2016,-0.183633016782,-0.177350529739,-0.220362833298,-0.171767330677,-0.181578768687,-0.207602029979,-0.212561916402,-0.279178821552,-0.112851257206,-0.302674654308,-0.0915119644313,-0.28697110512,-0.180564381737,-0.158099072156,-0.124123758893,-0.198655461727,-0.192778421648,-0.160471181901,-0.205709663994,-0.183000222888,-0.14188439391,-0.119791818716,-0.198023398569,-0.348392514529,0.0631269280652,-0.160082796325,-0.484500461327,-0.185657173444,-0.172767990307,-0.193420314913,-0.182644791236,-0.169268733265,-0.154029724653,-0.235876826284,-0.200626755144,-0.193343898244,0.206911657092,0.463775728482,-0.176386833256,0.583033784192,0.0796240172853,162441.673374,12.4130414004
5,50007,ALLEMAN,Polk,IA,77,13.782897,2016,-0.4351861327,3.51060403409,1.15896838146,-0.440506035449,-0.181578768687,-0.232075859352,-0.224497379314,-0.279178821552,-0.241263539086,-0.343694039804,-0.274775619015,-0.387408346042,-0.405221753119,-0.440425163277,-0.306184728274,-0.315847365359,-0.393789408616,-0.416934672961,-0.420617051484,-0.434153538256,-0.473774605383,-0.490862084466,-0.504421559291,-0.50061724175,0.430268979477,-0.391238182679,2.80968207599,-0.450047665681,-0.447854378015,-0.400368910466,-0.440445679927,-0.436782627052,-0.445637040578,-0.36812129948,-0.43403270506,-0.457024409217,2.23932830107,0.563837832911,-0.428341012519,1.36069693839,1.46319140033,64840.5663985,13.5065835266
6,50008,ALLERTON,Wayne,IA,93,220.623573,2016,-0.349599496883,-0.631802292294,-0.802445135748,-0.348093911674,-0.181578768687,-0.232075859352,-0.224497379314,-0.279178821552,-0.23514866852,-0.312929500682,-0.258977028102,0.190105789258,-0.361739681239,-0.35092963766,-0.256334700943,-0.250299351463,-0.326398441887,-0.374552994354,-0.346552923592,-0.352794013559,-0.344466730783,-0.324603329032,-0.332072593885,-0.340781278168,-0.316675194085,-0.351243555714,-1.21272433819,-0.326017420058,-0.338175538089,-0.331386045282,-0.342079681062,-0.345483135855,-0.362665898202,-0.255324542931,-0.326221385337,-0.328019428042,-0.11642735445,-0.0365347936613,-0.339894421009,0.334843415831,-0.884336864347,-44801.3486087,11.8192953142
7,50009,ALTOONA,Polk,IA,77,65.207113,2016,1.45146223668,1.5399855875,0.776198307084,1.5300674315,0.0941571717179,0.795824974301,0.127598776573,10.7490763513,0.296845070698,1.03045537432,0.376126326575,-1.46710868595,1.94764146974,1.89383957703,0.684313640858,0.617715256796,1.71508308471,1.76517842047,1.49533694546,1.28147122165,1.13826356463,0.795836109757,0.424347865396,0.100670430773,1.4937149215,1.47020665875,1.84100691903,1.27393386752,1.42202162809,1.04450855667,1.32440428304,1.6362904353,1.62219715826,1.82947068157,0.743000156662,0.74654953603,0.807398392813,0.463775728482,1.48512135898,1.26142079104,1.00956275015,1068535.98268,13.7791326215
8,50014,AMES,Story,IA,85,144.826088,2016,4.30429585983,-0.0868925549692,0.101506282497,4.08131477964,1.89061860163,0.86924646242,12.5166092786,2.60917372372,1.41586638423,3.55314758235,1.72532599049,-4.25424212152,1.69882739176,1.7812781943,18.1014797116,14.708551941,3.28831358387,1.89558358541,2.04049749338,2.02431905584,1.65980532551,1.11389633754,0.852028631403,0.922683957767,-0.000173425626552,1.64238691721,3.2321893253,3.01269016353,1.65145790404,5.94229198477,3.0835162294,1.97467316491,2.15224581539,1.01266658242,4.92430103088,2.82622324354,-0.532148940718,-0.386752159162,3.07546562701,1.89016972422,5.63657498199,2094695.09201,13.9023273078
9,50021,ANKENY,Polk,IA,77,66.725924,2016,4.56577442211,2.15327927807,1.9690517933,4.83300420023,0.539791014797,0.86924646242,1.41066103955,1.55886370726,0.492520928801,2.13797878273,0.739493917559,-1.51732730641,5.62912355562,4.95698540226,2.91672790827,3.25155363334,5.34257615588,5.16223296731,4.67159528259,4.24225044648,3.8278673563,2.8825039678,1.98825514408,2.07198064829,1.62031562888,4.61690256332,2.35282464381,4.30159381318,4.67147958289,3.36860399643,4.33030526501,4.89561842524,5.40825899486,2.79407742723,3.22043759649,2.96798695912,0.391676806545,0.263651519625,4.66208226092,1.59234128219,2.7673737696,2387995.2852,13.1084827388
