0,5011,41.690965,-92.066144
1,2633,41.554101,-93.596754
2,3995,42.512768,-92.430423
3,5215,41.610504,-90.344168
4,5101,42.489119,-92.367142
5,2616,41.83619,-90.193203
6,5102,41.918986,-91.410759
7,2567,41.560169,-90.609903
8,2593,42.064123,-94.855277
9,4345,41.745903,-92.727379
10,5125,41.627778,-93.602858
11,5220,43.148281,-93.241626
13,4447,41.62945,-93.755433
14,4893,41.582697,-93.703837
20,5229,41.47539,-93.682581
25,5146,41.58269,-93.70689
26,3054,41.745726,-92.725772
27,5063,42.510453,-92.337744
28,4847,41.587349,-90.359813
29,4077,42.501601,-92.334639
31,4265,42.489105,-92.336964
32,5174,42.487326,-92.355915
34,2635,41.574973,-90.513769
36,4829,41.60572,-93.613739
37,2663,41.629365,-93.739245
38,4196,41.574438,-90.598191
40,5129,41.546838,-93.64492
44,4464,41.695329,-90.547796
46,2130,42.497854,-92.335359
47,4502,42.489914,-92.313971
48,2248,41.586319,-93.664182
49,2626,41.600361,-93.673223
51,4882,41.288487,-93.803773
52,4190,42.028013,-94.377702
55,2515,43.148448,-93.237177
58,4412,41.647182,-91.115936
59,4997,41.585264,-93.624375
60,5106,41.82514,-90.540112
64,3713,43.148239,-93.261648
66,4725,41.731704,-93.638499
67,4638,,
68,4165,41.731416,-93.581093
69,4959,42.518018,-92.455801
74,2550,41.03058,-93.772725
83,4406,41.701905,-93.626571
195,2571,42.530476,-92.337583
241,4368,41.682765,-93.698572
348,3456,43.142868,-93.378772
464,4269,41.771753,-91.128389
483,4706,41.866829,-90.181935
490,4642,42.498321,-92.382928
493,4601,41.61508,-93.578778
497,4988,42.512766,-92.429371
504,4802,41.62949,-93.678747
520,4132,41.78845,-90.257282
537,4801,41.60037,-93.658747
539,4366,41.697221,-91.6656
618,4104,43.155972,-93.199495
757,4410,,
876,3582,40.739495,-93.747995
972,5222,41.98823,-91.65208
991,3772,,
1022,2612,41.8303,-94.104378
1028,4926,41.649339,-93.697356
1029,5115,43.284016,-93.199447
1033,4648,42.510573,-92.345104
1036,4470,42.495308,-92.314941
1038,4260,41.033299,-93.765718
1044,4974,41.581689,-93.596783
1051,4617,41.607817,-93.570489
1056,3920,41.827768,-90.204862
1061,2595,42.012395,-95.348616
1070,5144,41.693276,-93.581264
1073,4068,41.570743,-93.703344
1078,5029,41.574536,-90.576113
1089,3756,41.908573,-95.065122
1331,4647,42.49807,-92.293057
1348,5113,42.495394,-92.315218
1443,4615,43.163663,-93.201061
1509,2190,41.60566,-93.619787
