Urban Area,100% Composite Index,13 % Grocery Items,29 % Housing,10% Utilities,12 % Transportation,4% Health Care,32 % Miscellaneous Goods and Services,Region,State
"Anniston-Calhoun, County, AL",91.2,101.2,74.8,111.2,88.8,89.3,96.6,SE,AL
Akron OH,100.2,105.1,99.7,107.9,107.1,86.8,96,MW,OH
"Albany, GA",90.1,108.7,74.8,82,96.6,89.8,96.8,SE,GA
"Albany, NY",108.1,105,112.6,101,102.8,111.7,108.6,NE,NY
"Alexandria, LA",95.1,96,92.7,89.9,97.2,92.9,98.2,SE,LA
"Amarillo, TX",89.5,89.9,89.4,80.4,92.1,95.2,90.8,S,TX
"Americus, GA",88.3,105.5,71,88.2,99.8,103.7,91.3,SE,GA
"Ames, IA",96.8,93.7,104.8,82.3,101.8,98.4,93.7,MW,IA
"Anchorage, AK",128.4,134.5,142.9,94.1,122,135.7,124.8,S,AK
"Anderson, SC",91.8,103.4,77,101.6,92.3,99.7,95.9,SE,SC
"Appleton, WI",93.3,93,81.8,102.3,104.4,104.7,96,MW,WI
"Ardmore, OK",87.3,92.9,77.3,84.8,101.3,93.7,89.8,MW,OK
"Arlington, TX",99.3,94.4,89.4,109.9,98.3,105.4,106.4,S,TX
"Asheville, NC",101.1,104.6,97.8,113.1,94.2,104.7,100.6,SE,NC
"Ashland, OH",88.5,100.7,72.1,92.1,98.2,88.8,94.2,MW,OH
"Atlanta, GA",95.6,96.2,90.7,86.3,99.3,103.3,100.3,SE,GA
"Auburn-Opelika, AL",98.9,104.6,90.2,101.3,92.9,88.4,106.5,SE,AL
"Augusta-Aiken, GA-SC",93.2,106,79.4,92.1,93.9,101.4,99.4,SE,SC
"Austin, TX",95.5,89.3,85.1,110.7,100.2,100.3,100.4,S,TX
"Bakersfield, CA",103.4,107.6,98.4,104.3,111.3,107.2,103.1,W,CA
"Baltimore, MD",119.4,110.8,155.4,112.5,105.3,97.9,100,NE,MD
"Baton, Rouge, LA",96.1,100.4,102.2,78.2,90.4,97.7,95.8,SE,LA
"Beaufort, SC",105.2,106.9,103.5,114.3,99.6,95.7,106,SE,SC
"Beaumont, TX",95.7,87.1,95.9,92.5,100.4,98.7,98.1,S,TX
"Bellingham, WA",113,114.9,135.9,83.8,113.2,115.3,100.8,NW,WA
"Bergen-Passaic, NJ",131.3,112.1,174,128.9,102.4,106.3,113.8,NE,NJ
"Bethesda-Gaithersburg-Frederick, MD",130.5,108.5,184.2,120.6,110.1,104,104.4,NE,MD
"Binghamton, NY",98.4,92.4,92.6,112.8,104.4,114.3,97.7,NE,NY
"Birmingham, AL",90.8,93.5,73.2,105.7,93.5,87.9,100.3,SE,AL
"Bismarck-Mandan, ND",95.3,105.9,91.5,70.1,102.6,100.5,99.4,MW,ND
"Blacksburg, VA",95,91.5,94.9,102.3,91.1,97.5,95.1,SE,VA
"Boise, ID",97.2,98.5,84,99.6,108,106.6,103.3,NW,ID
"Boston, MA",132.5,116.7,152.7,138.6,104.5,123.5,128.6,NE,MA
"Bowling, Green, KY",90.7,93.3,78.2,104.3,96.7,95.8,94,SE,KY
"Bozeman, MT",102,107.3,101.8,89.1,101.6,102.4,104,W,MT
"Bradenton, FL",95.8,106.6,90.2,90.4,101.3,98.8,96.1,SE,FL
"Brazoria, County, TX",89.3,87.9,75.8,100.8,96,95.6,95.6,S,TX
"Brownsville, TX",85.8,88.6,71,93.1,95,96.5,91.4,S,TX
"Buffalo, NY",95.8,91.8,97.4,115.6,104.8,92,87.6,NE,NY
"Burlington, IA",97,93.8,94.6,108.6,98.6,89.9,97.1,MW,IA
"Burlington, NC",94.6,98.6,86,82.3,97.5,102.5,102.5,SE,NC
"Burlington-Chittenden, Co, VT",120.5,112.9,138.7,122.2,102.5,104.6,114.2,NE,VT
"Camden, SC",97.4,103.4,87.8,107.5,86,93.1,104.3,SE,SC
