,title,company,location,reviews,summary,hourly,monthly,yearly,est_sal
402,DATA SCIENTIST,Home Depot,"Atlanta, GA","20,566",Strong communication and data presentation skills. Insights from data to solve business problems. The Data Scientist will develop the analytical infrastructure...,0,0,0,
403,"Data Scientist / Machine Learning Expert - Bangkok, Thailand",Big Wednesday Digital,United States,,Data Scientist / Machine Learning Expert. If you are a Lead Data Scientist and this role appeals to you we want to hear from you straight away....,0,0,0,
404,"Principal Data Scientist - Atlanta, GA",Honeywell,"Atlanta, GA","3,471","Support and mentor data scientists. Experience with data architectures, data warehousing, and data modeling. As a Principal Data Scientist in the Aero Services...",0,0,0,
405,Statistical Analysis Fellowship - CDC,Oak Ridge Associated Universities,"Atlanta, GA",15,"Experience with R and large data sets. Experience analyzing data using SAS, SPSS and/or SUDAAN. Experience managing and analyzing large data sets from complex...",0,0,0,
406,Product Designer – Android,IBM,"Atlanta, GA","12,098","At TWC we use science, data and user-driven insights to guide our work, but we also believe in a healthy dose of inspired storytelling as we strive to transform...",0,0,0,
407,Guideline Development Fellow -- CDC,Oak Ridge Associated Universities,"Atlanta, GA",15,"Assisting in the preparation of analyzable data sets, tables and figures of analysis results. Assisting in monitoring published literature, evaluating...",0,0,0,
408,Sr Statistical Modeler,LexisNexis,"Alpharetta, GA 30005",354,"Experience processing large data sets. Research and design advanced scores, attributes, products and indexes through exploration of across a wide range of data...",0,0,0,
409,Data Analytics Engineer,Verizon,"Alpharetta, GA 30022","11,101","3 + years of experience as a data scientist, analyst or statistical modeler. Lead & manage data augmentation, clean up and data quality issue resolution....",0,0,0,
410,Senior Big Data Software Eng BIG DATA,AT&T,"Roswell, GA","14,277","Interacts with data scientists and industry experts to understand how data needs to be converted, loaded and presented....",0,0,0,
411,Analytics DevOps Engineer,Honeywell,"Atlanta, GA","3,471","Advanced analytics/modelling projects, including data ingestion, data management (scripts, modelling), data extraction, and execution of predictive models....",0,0,0,
412,Senior Operations Research Analyst,Blue Ridge,"Atlanta, GA",,"Strong proficiency in system and data analysis tools including spreadsheets (Excel), statistics (eg, SAS, R, Minitab), programming (eg, C++, Java, VB), and data...",0,0,0,
413,Research Scientist I/II-EOSL 1185,Georgia Tech Research Institute,"Atlanta, GA 30318 (Rockdale area)",254,"GTRI is a group of world-class engineers and scientists, solving challenging problems for our customers through innovation, cutting edge applied research, and a...",0,0,0,
414,Manager of Systems Analysis,ADP,"Alpharetta, GA 30005","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
415,Well Planning and Delivery Specialist,Saudi Aramco,United States,291,"Petroleum engineers and earth scientists in E&P work with cutting-edge technology to manage and produce these reserves, including 3D visualization, reservoir...",0,0,0,
416,Clastic Sedimentologist,Saudi Aramco,United States,291,"Data Integration experience using 2D/3D Seismic, Gravity, Magnetic, wireline logs, core, specialist geological techniques - SEM, XRD, chemo stratigraphy,...",0,0,0,
417,Data Scientist - Insights - BHJOB2052_12449,Visionaire Partners,"Atlanta, GA 30339",5,Must be authorized to work in the U.S./ Sponsorships are not availableData Scientist - InsightsLove Data Analytics and want more Big Data but limited because of...,0,0,0,
418,Data Scientist With Predictive Modeling,MobileDev Power,"Atlanta, GA 30305",,"Build scalable predictive models based on data sets. Collaborate with others in Data Science and Analytics, and other adequately-prepared power users elsewhere...",0,0,0,
419,Operations Research Analyst,AptoNet Inc,"Atlanta, GA",,Strong knowledge of operations research and data mining techniques and experience in formulating and implementing optimization and data analytics models....,0,0,0,
420,Analytics Data Scientist,Honeywell,"Atlanta, GA","3,471","If your answer is yes, Honeywell has an intriguing opportunity for you as data scientist. Data modeling, mining, pattern analysis, data visualization and...",0,0,0,
421,Principal Big Data Engineer,AT&T,"Atlanta, GA","14,277","Focusing on stitching large data sets to support data scientists for model creation, training. The data engineers will perform analysis and data discovery on...",0,0,0,
422,Sr Statistical Modeler,Reed Elsevier,"Alpharetta, GA",32,"Experience processing large data sets. Research and design advanced scores, attributes, products and indexes through exploration of across a wide range of data...",0,0,0,
423,Operations Research Analyst,Wabash Solutions,"Atlanta, GA 30324 (Buckhead area)",,Strong knowledge of operations research and data mining techniques and experience in formulating and implementing optimization and data analytics models....,0,0,0,
424,Associate Research Analyst,CSTE,"Atlanta, GA 30341",,"Skills with developing and presenting epidemiologic data; For more than six decades, the Council of State and Territorial Epidemiologists (CSTE) and the Centers...",0,0,1,51706.0
425,"Senior Data Analyst, Supply Chain",Home Depot,"Atlanta, GA","20,566","And operates under minimal supervision and mentorship of more experienced managers and data scientists. 2-4 years work experience in data mining, statistical...",0,0,0,
426,"Sr Data Scientist - Atlanta, GA",Honeywell,"Atlanta, GA","3,471","Are you an active participant in the data science community who wants to be part of a newly-formed data analytics group that uses data to create new, innovative...",0,0,0,
427,Big Data Technical Co Op I,AT&T,"Alpharetta, GA","14,277","As a data scientist or data engineer, you’ll use your talent for breaking down business problems into data-driven analyses that guide improvements in customer...",0,0,0,
428,Professional Big Data Software Eng BIG DATA,AT&T,"Roswell, GA","14,277","Interacts with data scientists and industry experts to understand how data needs to be converted, loaded and presented....",0,0,0,
429,Lead Quantitative Analyst,SearchBankingJobs,"Atlanta, GA",,"The client is looking for talented individuals who love data, love solving business problems, and want to see their recommendations in action....",0,0,0,
430,Software Development Engineer- Relocation Opportunity,Amazon Corporate LLC,United States,"9,593",We leverage our petabytes-sized data clusters to derive industry leading analytics and provide unique insights for our customers....,0,0,0,
431,Reservoir Engineering (Unconventional Resources),Saudi Aramco,United States,291,"Ability to work with limited data. Data analysis experience, preferably with Spotfire or OFM. Conduct dynamic data analysis and performs post-well evaluations...",0,0,0,
432,Data Scientist,Cox Automotive,"Atlanta, GA",42,Description Cox Automotive is hiring a Data Scientist. The Data Scientist will design and drive the creation of new standards and best practices in the use of...,0,0,0,
433,"Software Development Engineer, Big Data Analytics- Relocatio...",Amazon Corporate LLC,United States,"9,593",We specifically seek candidates who want to join the Ad Platform team focused on building large-scale data platforms delivering big data analytics for marketing...,0,0,0,
434,Applications Engineer and Intelligence Analyst - ACL 1181,Georgia Tech Research Institute,"Atlanta, GA 30318 (Rockdale area)",254,Our expert scientists and engineers turn ideas into workable solutions and then put those solutions into action....,0,0,0,
435,Quality Analyst,Philips,"Kennesaw, GA","1,218","Communicate with customers, call center reps and FSEs to gather more data on complaints as needed. Evaluate incoming data and determine if it is sufficient to...",0,0,0,
436,Sr Associate - Data Scientist,KPMG,"Atlanta, GA 30338","1,766","Five years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information...",0,0,0,
437,Information Architect/UX- Telecommute,ICF,"Atlanta, GA",233,"Data analysis skills*. We are business analysts, policy specialists, technologists, researchers, digital strategists, social scientists and creatives....",0,0,0,
438,Research Scientist,Intuitive Surgical,"Atlanta, GA",31,Conducting user studies and driving data gathering initiatives. Development of tools for annotation and curation of large data sets. Job....,0,0,0,
439,Bio Statistician,"Pro-Sphere Tek, Inc.","Atlanta, GA",,"Provide data analysis plans for analysis of large data sets, including techniques for linking datasets from diverse sources, and knowledge of weighting of data...",0,0,0,
440,Health Physicist,Battelle,"Atlanta, GA 30309 (Midtown area)",162,"+ Provides strong mentoring, technical guidance, and oversight to other scientists. + Leads complex and advanced technical projects where technical staff...",0,0,0,
441,Principal Data Scientist BIG DATA,AT&T,"Alpharetta, GA","14,277",Competitive Programmer or Competitive Data Scientist. Knowledge of scalable data visualization techniques....,0,0,0,
442,Senior Data Scientist,Cox Automotive,"Atlanta, GA",42,"Cox Automotive is hiring a Senior Data, Scientist. The Senior Data Scientist, Data Solutions, operates in a lead role, gathering and analyzing data in order to...",0,0,0,
443,Demand Creation Associate,Oversight Systems,"Atlanta, GA",2,"Oversight reduces the need for hard--to--find data scientists and reduces the cost for analysis. Through Insights On Demand, Oversight provides customer--proven...",0,0,0,
444,"Software Development Engineer, Big Data- Relocation Opportun...",Amazon Corporate LLC,United States,"9,593",Are you interested in building data pipelines that process petabytes of customer behavior data? Strong grasp of data structures and algorithms....,0,0,0,
445,Lead Systems Analyst - ETime,ADP,"Alpharetta, GA 30005","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
446,"Senior Specialist, Data Analytics",Prudential,"Newark, NJ 07102",962,"Are you passionate about data and the technology? Identify,integrate and mine large data sets, connecting data from disparate sources to identify impact,...",0,0,0,
447,Assistant Manager - Central Services,NYU Langone Medical Center,"New York, NY 10016",176,"Demonstrate knowledge in generating and interpreting statistical, productivity, and quality performance reports and utilizes the data to improve the departments...",0,0,0,
448,Data Research Analyst,Leopard Solutions,"Bronxville, NY",,"Technical expertise regarding data models, data mining and segmentation. Data management, analysis and manipulation....",0,0,0,
449,"Machine Learning Deployment Engineer, Professional Services,...",Google,"New York, NY 10011 (Chelsea area)","1,216",Experience interpreting technical data and creating reports with data. Experience with data analytics and/or data visualization techniques and software....,0,0,0,
450,"Director, Data Scientist/Modeler",AIG,"New York, NY",891,Machine Learning / Predictive Modeling / Statistics AIG is seeking world-class dynamic Data Scientists to join our Science team that drives transformational...,0,0,0,
451,Top 1% Business Intelligence Analyst,Consulting.com,"New York, NY",,"We are looking for an experienced data scientist with a proven track records of solving problems, driving growth, and making data-driven decisions....",0,0,1,150000.0
452,Research Analyst,The Real Deal,"New York, NY 10001 (Chelsea area)",,"Candidates must have an attention to detail and a passion for data. The Real Deal is growing its research division, including a website and proprietary data....",0,0,1,40000.0
453,Healthcare Research Analyst,Guidepoint Global,"New York, NY",5,Research experience or data management. Guidepoint gives professionals more confidence in their investment and strategic decisions by connecting them to...,0,0,0,
454,Data Science Engineer,Correlation One,"New York, NY",,"Translating Data Science to business values. Our Data Scientists get to work on solving various problem types across various domains (Financial Risk, Telco...",0,0,0,
455,Data Scientist - Entry Level,Verizon,"New York, NY 10003 (Greenwich Village area)","11,101","Experience with creating analytical data sets. Knowledge of Big Data discovery through the use of technologies such as Teradata EDW, Aster, Tableau, and Hadoop....",0,0,0,
456,Research Lead / Data Scientist,Spotify,"New York, NY 10011 (Chelsea area)",12,"You have experience with a range of data science techniques including clustering, machine learning, and network analysis....",0,0,0,
457,AVP Quantitative Analyst,Barclays,"New York, NY","2,188","Barclays moves, lends, invests and protects money for customers and clients worldwide . Please visit our website here for more information. About",0,0,0,
458,Applied Scientist,"Amazon Web Services, Inc.","New York, NY","9,593","As a Data Scientist in our Machine Learning team, you will be responsible for data-driven improvements to our spoken language understanding models....",0,0,0,
459,Scientist 3,Superior Group,"Tarrytown, NY",42,"In addition, the candidate may be asked to provide leadership in preparing clinical study reports, data charts, data graphs, and other documents....",0,0,0,
460,"Associate Publisher, Life Sciences",Springer Nature,"New York, NY",17,"Ensure correct filing of documents and correct data entry (e.g. Customer focused, with experience of developing and maintaining productive and friendly...",0,0,0,
461,Chief Data Scientist,CyberCoders,"New York, NY",16,"Chief Data Scientist If you are a bright and experienced Chief Data Scientist, please read on!Based in Manhattan, we are a bootstrapped, profitable, and fast...",0,0,0,
462,Application Support Specialist (Cardiology),NYU Langone Medical Center,"New York, NY 10016",176,"Analyze data conversion and workflow needs. The Solutions Development Analyst II routinely performs in-depth analysis of workflows, data collection, report...",0,0,0,
463,Statistical Analyst - Bundled Payments,VISITING NURSE SERVICE OF NEW YORK,"Manhattan, NY",168,Retrieves and compiles data from external data feeds and internally constructed databases. Analyzes data using appropriate software....,0,0,0,
464,Research Scientist,Yahoo! Inc.,"New York, NY",322,"Data Mining, Applied Machine Learning, Data Visualization and related areas. Our scientists specialize in mining large amount of data to make or inform business...",0,0,0,
465,Experiment Data Analyst / Statistician,Dow Jones,"New York, NY 10001 (Chelsea area)",108,"2+ years work experience as a business-facing data analyst. The candidate will be embedded in the Data Science and Data Analytics groups, and will work closely...",0,0,0,
466,Associate Research Scientist,Columbia University,"New York, NY",324,The Department of Chemistry at Columbia University invites applications for an Associate Research Scientist appointment who will serve as the Mass...,0,0,0,
467,Software Engineer - Machine Learning & Artificial Intelligen...,Rocket Fuel Inc.,"New York, NY",,"How do you use the rich data we have about users to make predictions? Through artificial intelligence at big data scale, we optimize performance, awareness, and...",0,0,0,
468,Senior Data Scientist,7Park Data,"New York, NY",,"We are looking for a Senior Data Scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to...",0,0,0,
469,Machine Learning Software Engineer,Gilt Groupe,"New York, NY 10016 (Gramercy area)",23,Machine Learning Software Engineer You will be joining the Personalization and Machine Learning team to build the algorithms and services that customize the,0,0,0,
470,Lead Data Scientist,Balyasny,"New York, NY",,As a Lead Data Scientist you will work with the newly formed Data and Analytics (D&A) organization on some of the most interesting data science problems in the...,0,0,0,
471,Data Engineer,PlaceIQ,"New York, NY",3,"Experience with Hadoop/Big Data paradigms. From building data pipelines to regression models/classification algorithms, complex data visualizations to...",0,0,0,
472,Senior Data Scientist,Capital Group,"New York, NY 10111 (Midtown area)",116,"Based in New York or Los Angeles, as a Senior Data Scientist, you should be experienced with and passionate about using data to drive business strategy,...",0,0,0,
473,Senior Data Scientist,CAPCO,"New York, NY 10271 (Financial District area)",48,Capco is looking for Senior Data Scientists. And rewarding role as a Senior Data Scientist. A team of data scientists and work with business sponsors and...,0,0,0,
474,Emerging Markets Equity Research Analyst,Alpha Global Search LLC,"New York, NY",,An International Asset Management firm is seeking a Research Analyst to join their Emerging Markets/Latin American Equity Portfolio Management team. The,0,0,0,
475,Chief Data Scientist - Consulting,Harnham,"New York, NY 10150",,Chief Data Scientist - Consulting. Chief Data Scientist | Data Science | Insurance | Management Consulting | Project Management | Statistical Modeling....,0,0,0,
476,Economist,Gallup,"New York, NY",61,Use Gallup’s unique proprietary data and other sources to formulate actionable insights for clients. Use quantitative skills to analyze data and influence the...,0,0,0,
477,Project Manager,NYU Langone Medical Center,"New York, NY",176,"Perform ad hoc data analysis to support project planning. And Hassenfeld Children’s Hospital, a comprehensive pediatric hospital supporting a full array of...",0,0,0,
478,Associate Research Scientist,NYU Langone Medical Center,"New York, NY 10016",176,May develop protocol for the collection and quality of research data. We have an exciting opportunity to join our team as an Associate Research Scientist....,0,0,0,
479,Senior Data Scientist (VP) - Wholesale Solutions,JPMorgan Chase,"New York, NY","10,693","Senior Data Scientist (VP) - Wholesale Solutions.  Data frame software such as Pandas. The JPMIS Senior Data Scientist is responsible for developing, testing...",0,0,0,
480,"Product Analyst, Data Science",Google,"New York, NY 10011 (Chelsea area)","1,216",Data Scientists are changing the world one technological achievement after another. You weave stories with meaningful insight from data....,0,0,0,
481,Senior Data Scientist - Verticals,Bloomberg,"New York, NY",285,Our Machine Learning team is looking for an experienced data scientist to join and contribute to building innovative legal research products using Natural...,0,0,0,
482,Data Analyst-Underwriting Analytics,AIG,"New York, NY",891,"The role will require a considerable amount of collaboration and communication with many different parts of AIG, from senior business stakeholders to IT...",0,0,0,
483,Data Analyst - Cardiology,Columbia University,"New York, NY",324,"The successful candidate will play an integral role in cardiovascular precision medicine team science focused on the clinical data, electronic health record...",0,0,0,
484,Quantitative Analyst,StreetID,"New York, NY",,Professional or academic experience working with large/noisy data sets. The emphasis here will be on hiring exceptional talent with a passion for turning...,0,0,1,120000.0
485,Senior Data Scientist,Integral Ad Science,"New York, NY",,We are seeking a Senior Data Scientist to join our team in New York City. Drive the collection of new data and the refinement of existing data sources....,0,0,0,
486,Consumer & Marketing Analytics Lead,Aetna,"New York, NY 10017 (Midtown area)","1,714","Improve the health of members through the development of cutting-edge, world class customer analytics and behavior change strategies and programs· Increase...",0,0,0,
487,Data Analyst,OnDeck,"New York, NY",3,"Using industry technologies, tools and data mining frameworks for data analytics including data visualization for analyzing and drawing conclusions,....",0,0,0,
488,Policy Data Analyst,DEPARTMENT OF FINANCE,"Manhattan, NY",66,"Strong data analysis skills and data testing. Assisting with data cleansing, data conversion, system integrity, and system access issues....",0,0,1,74119.5
489,Quantitative Analyst - MS100101,Parallel Partners,"New York, NY",,"In this role, the selected candidate will be responsible for preparing execution data sets, owning the data management process, and analyzing and fitting...",0,0,0,
490,Data Scientist,Top Research Firm,"Darien, CT 06820",,"Continually enhance the advanced analytics program by staying up to date on the latest data science, advanced analytics, and big data trends....",0,0,0,
491,FIDS - Forensic Technology & Discovery Services Manager - Da...,EY,"New York, NY","2,500",FIDS - Forensic Technology & Discovery Services Manager - Data Scientist. The role of the Forensic Technology & Discovery Services (“FTDS”) Data Scientist...,0,0,0,
492,Data Engineer,Indeed,"New York, NY 10036",131,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,0,0,0,
493,Research Analyst - International Finance,"CitiStaffing, LLC","New York, NY",,"International firm has an excellent opportunity for a Research Analyst!!! Responsibilities for the Research Analyst include: • ; Review, analysis, and",0,0,0,
494,Director of Data Engineering (Media),Averity,"New York, NY",,"Enabling our Data Scientists to create products easier with our data. First and foremost, as the Director of Data Engineering, you will be leading our...",0,0,1,215000.0
495,Research Analyst,Guidepoint Global,"New York, NY",5,"Overview: Where else can you begin your career with the opportunity to spend each day talking to some of the brightest professional minds – doctors,",0,0,0,
496,Research Analyst,JLL,"New York, NY",759,"Respond to all internal and external clients requests for data and information. Strong analytical skills, problem solving skills, and ability to process and...",0,0,0,
497,Data Analytics Manager,Willis Towers Watson,"New York, NY",216,"Building upon our existing advanced analytics and data provisions services, RCS is currently broadening its big data predictive analytics capabilities and is...",0,0,0,
498,"VICE PRESIDENT, MEASUREMENT & DATA SCIENCE",Viacom,"New York, NY",203,5+ years of experience managing/leading a team of data scientists with a track record of overseeing multiple data science and machine learning projects at all...,0,0,0,
499,"Analyst, Quantitative Research",Kelton Global,"New York, NY",,Kelton is a strategy consultancy that creates consumer-oriented business solutions based on core human truths. We create brand relevance and resonance for our,0,0,0,
500,Senior Data Scientist,Enigma,"New York, NY",,We value data scientists who can quickly implement elegant solutions to complex problems. As a Senior Data Scientist with the Analytics group your contributions...,0,0,0,
501,Software Engineer - Machine Learning,Squarespace,"New York, NY 10014 (West Village area)",15,Experience with a large scale data processing tools such as Apache Spark. Squarespace has access to incredibly rich data sources of both content creation and...,0,0,0,
502,Quantitative Researcher in Machine Learning,"Two Sigma Investments, LLC.","New York, NY",,"Two Sigma combines massive amounts of data, world-class. Computing power, and statistical expertise to develop sophisticated trading....",0,0,0,
503,Machine Learning Quantitative Analyst,Bloomberg,"New York, NY",285,"A track record of gathering, matching, and pre-processing large data sets from varied sources and of different characteristics....",0,0,0,
504,Senior Data Scientist (Media),Averity,"New York, NY 10016",,We are looking for a Senior Data Scientist excited about the thought of heading up our new Data Science group....,0,0,0,
505,Equity Research Analyst,JGR Capital Partners,"New York, NY 10022",,"JGR Capital is an equity research, investment advisory and corporate access firm. We are headquartered in midtown Manhattan, with offices in Los Angeles, Sao",0,0,0,
506,Statistical Analyst - Supply Chain,The Getinge Group,"Wayne, NJ",8,"Identify impact and opportunities to reuse data structures and data bases. Experience in data extraction, manipulation and reporting capabilities....",0,0,0,
507,Data Scientist - Relocation to China (Chinese Visa required),Booking.com,"New York, NY",141,"Data Scientist – China Localisation. Data Science, Analytics & Research. As a data scientist, you can expect to independently support these functions at...",0,0,0,
508,Tech Svc Scientist (I),NBTY,"Leonia, NJ",129,"Performs comprehensive, sophisticated and critical evaluation of own data. Strong laboratory and experimental skills, data analysis and written and verbal...",0,0,0,
509,Research Analyst,Preqin,"New York, NY",4,"The focus of a research analyst is on the compilation of data and written profiles, as well as the production of accurate and high quality analysis, both of...",0,0,0,
510,Part Time Data Science Instructor,General Assembly,"New York, NY 10010 (Gramercy area)",74,"Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of...",0,0,0,
511,Data Scientist / Python Developer,"The Hagan-Ricci Group, Inc.","New York, NY",,New York City financial services firm is seeking an experienced Data Scientist with strong Python development skills to work collaboratively with quants and IT...,0,0,1,250000.0
512,Enterprise Data Government Analyst,NYU Langone Medical Center,"New York, NY",176,Supports the data governance team in conducting moderately complex data analysis to help drive data quality improvement initiatives....,0,0,0,
513,Freelance Research Analyst,NFL - National Football League,"New York, NY 10154 (Midtown area)",,"Proficiency in data analysis and interpretation of media/marketing information. Primary responsibilities include all efforts in gathering, analyzing and...",0,0,0,
514,Digital Data Scientist,JPMorgan Chase,"Manhattan, NY","10,693","Digital Data Scientist. We are currently looking for a data scientist to develop large-scale ad targeting models, especially for programmatic media buying and...",0,0,0,
515,RESEARCH SCIENTIST,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY",,"OER also addresses key policy-relevant research questions, with research activities that include statistical analyses of administrative data and national survey...",0,0,1,77975.0
516,"Coordinator / Lead Scientist, Municipal Storm Sewer Systems",POLICE DEPARTMENT,"New York, NY",33,"Maintain records of raw data; Coordinator/Lead Scientist, Municipal Storm Sewer Systems position will serve as the coordinator and lead scientist preforming...",0,0,1,90981.0
517,Full Stack Machine Learning Engineer,Wade & Wendy,"New York, NY",,"Working in a highly interdisciplinary environment, you will conceptualize new product features with designers, productionize modules from data scientists, and...",0,0,0,
518,Quantitative Finance Analyst,Pozent Corporation,"New York, NY",,"Required Job Skills:  * Excellent knowledge of derivative products with approximately 2+ years experience with expertise in at least one asset class (FX,",0,0,0,
519,Economics Outcomes (HEOR) Statistician (5805207),BioPoint,"Bridgewater, NJ",,"Prepare, verify, and manage research data sets from administrative health insurance claims, electronic medical record databases, randomized clinical trials, or...",0,0,0,
520,Big Data Engineer,Harnham,"New York, NY",,You will join the data engineering team and work closely with the data scientists as well. Big Data Engineer....,0,0,0,
521,Pharmaceutical Research Analyst,MARKET ACCESS SOLUTIONS LLC,"Raritan, NJ",,"MARKET ACCESS SOLUTIONS LLC seeks Pharmaceutical Research Analyst in Raritan, New Jersey to cndct rsrch involng rvw of scntfc jrnls & lit, cmpttv lndscp, &",0,0,0,
522,Senior Performance Analyst (Dashboard Analytics - Hospital O...,NYU Langone Medical Center,"New York, NY 10016",176,Ensure a data integrity process by performing quality assurance checks on all inputs and outputs on performance metric reports and establish a routine data...,0,0,0,
523,"Lead Analyst, Corporate Systems",NYU Langone Medical Center,"New York, NY",176,"Participating in component and data architecture design, performance monitoring, and product evaluation; Participate in component and data architecture design,...",0,0,0,
524,CRM & Marketing Analytics Lead,Aetna,"New York, NY 10016 (Gramercy area)","1,714",Responsible for managing team of 25+ data scientists and analysts; Position Summary/ Mission:....,0,0,0,
525,Senior Machine Learning Data Engineer,DTS - Machine Learning Practice,"New York, NY",,Senior Machine Learning Developer / Data Engineer*. We are looking to hire a Senior Machine Learning Developer / Data Engineer with experience in Java or Scala...,0,0,1,200000.0
526,"Sr. Manager, Data Scientist",Aetna,"New York, NY 10017 (Midtown area)","1,714","Manager, Data Scientist in our Wellesley, MA (Boston area) or New York, NY location. Aetna continues to build a world-class Data Science organization to capture...",0,0,0,
527,Analyst - Statistical Data,NewYork-Presbyterian/Midtown Offices,"New York, NY",387,"Analyst - Statistical Data. Bachelor’s Degree in Statistics, Mathematics, Economics, Public Health, Operations Research, Computer/Systems Engineering, or...",0,0,0,
528,"Decision Scientist, Real-Time Bidding Strategy",Eyeview,"New York, NY 10011 (Chelsea area)",,"In addition, the data scientist will also work with the data engineers and analytics team in creating and evolving a scalable predictive modeling platform for...",0,0,0,
529,Data Engineer,JW Player,"New York, NY 10018 (Clinton area)",2,Work with Data Scientists to process video data in ways that are meaningful for our publishers. The Data Team at JW Player is responsible for processing all of...,0,0,0,
530,"Internship: Research Scientist, Deep Learning",Clarifai,"New York, NY 10010 (Gramercy area)",,"Handle internet-scale data sets and the unique problems that they pose. Clarifai is an artificial intelligence company that excels in visual recognition,...",0,0,0,
531,Statistical Analyst - Bundled Payments,Visiting Nurse Service of New York,"Manhattan, NY",168,Retrieves and compiles data from external data feeds and internally constructed databases. Analyzes data using appropriate software....,0,0,0,
532,Research Aide,Weill Cornell Medicine,"New York, NY 10065 (Upper East Side area)",,"Basic knowledge of data analysis and/or statistics. This includes maintaining and entering data into research databases, conducting follow up survey phone calls...",0,0,0,
533,Senior Data Scientist,TripleMint,"New York, NY",,"Experienced with Python, Ruby, R, or other common data mining tools. Passionate about the future of real estate and how data will play an integral role....",0,0,0,
534,"Director, Data Scientist Modeler",Harnham,"New York, NY 10150",,"Director, Data Scientist Modeler. Essentially as a Data Scientist Modeler -Director and senior professional, you will always be required to solve challenging...",0,0,0,
535,Sr. AML Business Analyst (Technology),ADP,"Roseland, NJ 07068","1,654","Creation of data feeds / ETL / mapping and data modeling. At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers...",0,0,0,
536,Lead Data Scientist,ADP,"Roseland, NJ 07068","1,654",ADP is hiring a Lead Data Scientist. Exceptional quantitative and data analysis skills. The Lead Data Scientist will be responsible for deriving actionable...,0,0,0,
537,VP of Data,Harnham,New York State,,VP of Data. The data team's mission is to provide the highest level of service to the community through analysing and researching all aspects of data and...,0,0,0,
538,FinTech Data Analyst / Scientist,Integrated Management Resources,"New York, NY 10017",,"Big Data, Data Analysis. Provide expertise in big data analytics, data mining and regulations surrounding data transport....",0,0,0,
539,Clinical Analytics Senior Data,Aetna,"New York, NY 10016 (Gramercy area)","1,714",We are currently looking for an exceptional Data Scientist to play a pivotal role in the creation and deployment of population health products....,0,0,0,
540,Quantitative Research Analyst,Correlation One,"New York, NY",,"You will apply modern statistical machine-learning methods to large, high-dimensional data sets. The work will range from data preparation to model development...",0,0,0,
541,Quantitative Analyst,Quantitative Brokers,"New York, NY",,We are looking for quantitative analysts with a strong passion for financial data exploration and analysis to join our company. Skills and background....,0,0,0,
542,Python developer/Quantitative Analyst,Inficare,"New York, NY",,"Job Description Dear candidate, I trust you folks are doing great. I have got a stupendous job opportunity for you. Please find the below details. Job",0,0,0,
543,Senior Data Scientist (Media),Averity,"New York, NY",,We are looking for a Senior Data Scientist excited about the thought of heading up our new Data Science group....,0,0,1,150000.0
544,Sr. Research Scientist- Yahoo Video,Yahoo! Inc.,"New York, NY",322,Research Scientist in computer vision and deep learning. This is an exciting opportunity to apply your computer vision skills to the 10 terabytes of data that...,0,0,0,
545,Data Science Instructor,Hudson Data,"New York, NY",,Hudson Data is a data science solutions firm specializing in big data and predictive modeling factories. You are an enthusiastic educator that is eager to...,0,0,0,
546,Market Research Analyst; Online Insights,1010data,"New York, NY",,1010data is a highly differentiated product that is becoming the industry standard for Big Data Discovery and Data Sharing....,0,0,0,
547,"Research Scientist, Machine Learning and Intelligence",Google,"New York, NY 10011 (Chelsea area)","1,216","From creating experiments and prototyping implementations to designing new architectures, Research Scientists and Software Engineers work on challenges in...",0,0,0,
548,Quantitative Analyst,Fitch Ratings,"New York, NY",25,The model validation team within Credit Policy Group is looking for a quantitative analyst to work on model validation related projects. This is a temporary,0,0,0,
549,Assistant Investigator,Northwell Health (Formerly North Shore-LIJ),"Manhasset, NY 11030",226,Responsible for the collection and analysis of research data. Works collaboratively with other Investigators and Scientists in facilitating scientific research....,0,0,0,
550,"Data Scientist, Imaging Informatics",Memorial Sloan Kettering,"New York, NY",362,"MSK is seeking an Imaging Informatics Data Scientist to join our team. In this role, the Imaging Informatics Data Scientist will develop new systems and...",0,0,0,
551,Senior Data Scientist for Hedge Fund,Averity,"New York, NY 10016",,"As a Data Scientist, you will be using your machine learning and statistical techniques, as well as your programming skills to contribute to our firm's success...",0,0,0,
552,Data Engineer,Indeed,"New York, NY 10036",131,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,0,0,0,
553,Quantitative Analyst,,"New York, NY",,"At least 1 year of quantitative analysis, statistical modeling and data mining experience. Research and analyze market data to reveal underlying patterns,...",0,0,0,
554,Senior Data Scientist,Averity,"New York, NY",,"Our data science needs are growing quickly, and we are looking to bring on experienced, smart data scientists excited about machine learning and business-minded...",0,0,1,150000.0
