,title,company,location,reviews,summary,hourly,monthly,yearly,est_sal
289,"Senior Scientist, Diagnostic Products",Asuragen,"Austin, TX",3,Direct experience with sample preparation and high-throughput data analysis. Supports other scientists based on extensive knowledge in at least one technical...,0,0,0,
290,Data Engineer,Indeed,"Austin, TX 78731",131,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,0,0,0,
291,Data Mining Scientist,Apple,"Austin, TX","2,565","The Apple Data Mining Lab is looking for an outstanding data mining scientist who is interested in designing, developing, and fielding data mining solutions...",0,0,0,
292,Engineering Scientist Associate - System Support Engineering...,University of Texas at Austin,"Austin, TX",403,Government globally distributed GPS monitoring system requiring continuous real-time data flow. Perform server and data archive hardware trouble shooting and...,0,1,0,5950.0
293,Data Scientist,Qcue,"Austin, TX 78703",,"Strong quantitative, research, and data analytic skills. Qcue is looking for a data scientist with a strong background in statistics and an interest in software...",0,0,0,
294,PPC Account Manager (SEM/Paid Search),Effective Spend,"Austin, TX 78701 (Downtown area)",,Fancies themselves a bit of a mad scientist. Appreciates that digital advertising campaigns are equal parts data analytics and good creative design....,0,0,0,
295,Data Scientist,Main Street Hub,"Austin, TX",33,"As a Data Scientist at Main Street Hub, you will…. Resourceful in distilling questions, wrangling data, and driving decisions....",0,0,0,
296,Senior Data Scientist - Geospatial Analytics,MaxPoint,"Austin, TX 78759",,Senior Data Scientist – Geospatial Analytics. Design large scale data pipelines that transforms raw location data into usable customer insights....,0,0,0,
297,DATA ANALYST SUPPLY CHAIN,Home Depot,"Atlanta, GA 30354","20,566","Operates under the supervision and mentorship of more experienced managers and data scientists. 1-3 years work experience in data mining, statistical analysis,...",0,0,0,
298,Data Scientist With Predictive Modeling,MobileDev Power,"Atlanta, GA 30305",,"Build scalable predictive models based on data sets. Collaborate with others in Data Science and Analytics, and other adequately-prepared power users elsewhere...",0,0,0,
299,Big Data Security Engineer,Principle Solutions Group,"Atlanta, GA 30303",8,"Big Data Security EngineerAtlanta, GA We have a new permanent career opportunity where you essentially be a data scientist with a cyber security spin and will...",0,0,0,
300,Health Scientist (Informatics),Centers for Disease Control and Prevention,"Atlanta, GA",62,As a Health Scientist (Informatics) you will:. Data and Information Synthesis Use relevant primary and secondary research findings to make action-oriented...,0,0,1,120002.5
